Wavelength,Amber 595-600nm,Blue 460-470nm,"Cool White 10,000-15,000K",Cyan 490nm,Deep Red 660nm,Far Red 730nm,Full Spectrum 380-840nm,Green 520-525nm,Infrared 850nm,Infrared 940nm,Natural White 4000 - 4500K,Orange 600-605nm,Red 620-625nm,Royal Blue 440nm,UV 365nm,UV 370nm,UV 375nm,UV 380nm,UV 385nm,UV 395nm,UV 400nm,UV 405nm,UV 410nm,UV 425nm,Warm White 3000 - 3500K,White 6000 - 6500K,Yellow 590-595nm
202,-0.0006,0.0025,0.0022,0.0032,0.0033,0.002,0.0025,-0.0011,-0.0016,-0.0009,0.0008,0.0041,-0.0008,0.0017,0.0011,0.0013,0.0026,0.0008,0.0001,-0.0004,0.0026,-0.001,0.0022,0.0015,0.0011,-0.0001,0.0011
202,-0.0006,0.0011,0.0024,0.0014,0.0012,0.0008,-0.0006,0.0013,0.0001,0.0001,0.0015,0.0019,-0.0011,-0.0022,-0.0014,0.001,0.0025,-0.0002,0.0007,0.0001,0.002,-0.0002,-0.0012,0.0004,-0.0019,0.0005,-0.0001
202,0.0012,0.0023,-0.0005,0.0016,-0.0008,0.0026,0.0026,0.0009,-0.0016,-0.0007,0.0016,0.0006,0.0015,0.0011,0.002,0.0009,0.001,0.0003,0.0033,0.0009,0.002,0.0006,0.0005,0.0016,0.004,0.0029,0.0003
203,-0.0007,0.001,0.0004,0.0011,0.0026,0.0019,0.0011,0.0003,-0.0009,-0.0008,-0.0019,0,-0.0007,-0.001,-0.001,-0.0011,-0.0002,0.001,-0.0014,-0.0025,0.001,0.0027,-0.0012,-0.0011,0.0003,0.0009,-0.0012
203,0.0008,0.0048,0.0033,0.0011,0.005,-0.0002,0.0044,-0.0002,0.0003,0.0035,0.0023,0.0036,-0.0006,0.0007,-0.0006,0.0027,0.0003,0,0.001,0.0018,0.0018,0.0009,0.0011,0.0015,0.0032,0.0016,0.0036
203,-0.0006,0.0001,0.0015,0.0003,0.0001,0.0004,0.001,0.0003,0.0013,0.0022,0.0003,-0.0012,0.001,0.0001,0.0009,0.0007,0.0006,0.0009,0.0009,0.0001,0.0002,0.0032,0.0007,0.0008,-0.0006,0.002,0.0014
203,0.0007,-0.0001,0.0018,0.0013,0.0012,0.0007,-0.0006,0.0026,0.0004,0,0.0024,0.0022,0.0008,0.0006,-0.0005,0.0007,0.0026,-0.0003,-0.0002,-0.0024,0.0004,0.0002,0.0018,-0.0006,0.0007,0.0013,0.0012
203,-0.0029,-0.0018,0,-0.0001,0.0003,0.0002,-0.0011,-0.0006,0,0.0015,0.0026,-0.0013,0.0008,-0.0001,-0.0016,0.0019,-0.0002,-0.002,-0.0018,0,-0.0006,-0.0016,-0.0011,0.0001,-0.0004,0.0015,0.001
204,-0.0006,0.0016,0.0015,0.0002,0.0026,0.0012,0.0006,0.0004,-0.0003,0.0023,0.0012,0.0029,0.001,-0.0009,0.0025,0.001,-0.0002,-0.0006,0.0025,0.0008,-0.0013,0.0004,0.0003,0.0046,0.0005,0.0017,-0.0002
204,-0.0005,0.0024,0.0011,0.0013,-0.0014,-0.0007,0.0013,-0.0008,0.0009,0.0005,0,0.0008,-0.0006,-0.0035,-0.0009,-0.0005,-0.0016,-0.0017,-0.0003,-0.0012,-0.0006,-0.0003,-0.0028,0.0008,-0.0028,-0.0002,0.0006
