Wavelength,10:00am,No cosine
251,0.0012,0.0012
252,0.0018,0.0024
252,0.0032,0.0008
252,0.0050,-0.0003
252,0.0052,0.0026
253,0.0026,0.0004
253,0.0057,0.0024
253,0.0018,0.0018
253,0.0029,0.0014
253,0.0024,0.0019
254,0.0024,0.0005
254,0.0032,0.0030
254,0.0011,0.0029
254,0.0029,0.0044
254,0.0012,0.0030
255,0.0048,0.0029
255,0.0039,0.0032
255,0.0018,0.0045
255,0.0023,0.0034
255,0.0025,0.0033
256,0.0031,0.0007
256,0.0007,0.0002
256,0.0038,0.0015
256,0.0036,0.0006
256,0.0041,0.0037
257,0.0022,0.0054
257,0.0021,0.0024
257,0.0007,0.0036
257,0.0038,0.0033
257,0.0059,0.0010
258,0.0038,0.0059
258,0.0003,0.0007
258,0.0032,0.0027
258,0.0047,0.0052
259,0.0024,0.0020
259,0.0031,0.0012
259,0.0019,0.0023
259,0.0025,0.0016
259,0.0042,0.0005
260,0.0029,0.0030
260,0.0011,0.0034
260,-0.0008,0.0002
260,0.0022,0.0016
260,0.0025,0.0015
261,0.0003,0.0029
261,0.0026,0.0027
261,0.0028,0.0028
261,0.0027,0.0026
261,-0.0015,0.0017
262,0.0005,0.0013
262,0.0030,0.0039
262,0.0013,0.0017
262,0.0029,0.0006
262,0.0018,0.0026
263,0.0030,0.0015
263,0.0008,-0.0006
263,0.0025,0.0047
263,0.0023,0.0036
264,0.0025,0.0017
264,0.0042,0.0007
264,0.0050,0.0011
264,0.0017,0.0011
264,0.0054,0.0003
265,0.0011,0.0033
265,0.0050,0.0038
265,0.0002,0.0010
265,0.0057,0.0022
265,0.0008,0.0013
266,0.0036,0.0029
266,0.0039,-0.0005
266,0.0019,0.0028
266,0.0040,0.0037
266,0.0027,0.0027
267,0.0035,0.0007
267,0.0020,0.0005
267,0.0008,0.0007
267,0.0039,0.0020
267,0.0028,0.0027
268,0.0014,0.0045
268,0.0008,0.0039
268,0.0039,0.0014
268,-0.0005,0.0006
268,0.0019,0.0035
269,0.0007,0.0023
269,0.0030,0.0043
269,0.0029,0.0008
269,0.0009,0.0012
270,0.0023,0.0040
270,-0.0007,0.0029
270,0.0027,0.0047
270,0.0027,0.0044
270,0.0023,0.0029
271,0.0057,0.0040
271,0.0008,-0.0002
271,0.0028,0.0025
271,0.0027,0.0029
271,0.0047,0.0041
272,0.0006,0.0030
272,0.0042,0.0031
272,0.0038,0.0031
272,0.0022,0.0010
272,0.0038,0.0005
273,0.0024,0.0055
273,0.0029,0.0017
273,0.0025,0.0032
273,-0.0001,0.0016
273,0.0031,0.0017
274,0.0016,0.0027
274,0.0052,0.0011
274,0.0018,0.0015
274,0.0043,0.0030
275,0.0021,0.0030
275,0.0021,0.0032
275,0.0030,0.0026
275,0.0030,0.0037
275,0.0037,0.0054
276,0.0021,0.0036
276,0.0028,0.0010
276,0.0029,0.0042
276,0.0018,0.0010
276,0.0037,0.0022
277,0.0015,0.0029
277,0.0036,0.0034
277,0.0032,0.0002
277,0.0049,0.0035
277,0.0038,-0.0011
278,0.0040,0.0042
278,-0.0001,-0.0004
278,0.0047,0.0030
278,-0.0002,0.0048
278,0.0056,0.0016
279,0.0011,0.0031
279,0.0041,0.0027
279,0.0017,0.0030
279,0.0010,0.0039
280,0.0049,0.0024
280,0.0016,0.0024
280,0.0004,0.0029
280,0.0031,0.0048
280,0.0032,0.0025
281,0.0027,0.0031
281,0.0038,0.0033
281,0.0015,0.0025
281,0.0007,0.0027
281,0.0042,0.0030
282,0.0028,0.0020
282,0.0048,0.0023
282,0.0013,0.0050
282,0.0023,0.0073
282,0.0013,0.0050
283,0.0037,0.0035
283,0.0014,0.0028
283,0.0014,0.0018
283,0.0028,0.0031
283,0.0020,0.0045
284,0.0011,0.0032
284,0.0018,0.0029
284,0.0044,0.0029
284,0.0053,0.0040
285,0.0041,0.0048
285,0.0057,0.0034
285,-0.0014,0.0014
285,0.0031,0.0018
285,0.0050,0.0012
286,0.0025,0.0022
286,0.0042,0.0015
286,0.0009,0.0050
286,0.0057,0.0034
286,0.0009,0.0032
287,0.0011,0.0025
287,0.0026,0.0024
287,0.0047,0.0051
287,0.0041,0.0046
287,0.0030,0.0012
288,0.0036,0.0042
288,0.0016,0.0031
288,0.0039,0.0017
288,0.0018,0.0023
289,0.0032,0.0013
289,0.0008,0.0007
289,0.0030,0.0023
289,-0.0001,0.0038
289,0.0025,0.0016
290,0.0057,0.0041
290,0.0016,0.0011
290,0.0013,0.0026
290,0.0027,0.0023
290,0.0026,0.0011
291,0.0020,0.0047
291,0.0020,0.0008
291,0.0042,0.0005
291,0.0010,0.0032
291,0.0030,0.0025
292,-0.0004,0.0032
292,0.0036,0.0030
292,0.0015,0.0022
292,0.0024,0.0020
293,0.0019,0.0039
293,0.0020,0.0008
293,0.0015,0.0016
293,0.0042,0.0023
293,0.0024,0.0017
294,0.0026,0.0037
294,0.0036,0.0014
294,0.0014,0.0026
294,0.0030,0.0009
294,0.0035,0.0025
295,0.0010,0.0013
295,0.0065,0.0038
295,0.0026,0.0013
295,0.0013,0.0027
295,0.0008,-0.0001
296,0.0038,0.0022
296,0.0002,0.0031
296,0.0041,0.0036
296,0.0026,0.0026
296,0.0027,0.0005
297,0.0008,0.0022
297,0.0029,0.0025
297,0.0020,0.0017
297,0.0009,0.0039
298,-0.0012,0.0000
298,0.0017,0.0018
298,0.0029,0.0015
298,0.0045,0.0017
298,-0.0003,0.0035
299,0.0023,0.0014
299,-0.0015,0.0024
299,0.0063,0.0009
299,0.0015,0.0022
299,0.0037,0.0011
300,0.0026,0.0016
300,0.0019,0.0015
300,0.0017,0.0016
300,0.0042,0.0007
300,0.0024,0.0022
301,0.0023,0.0037
301,0.0024,0.0009
301,0.0027,0.0022
301,0.0021,0.0030
302,0.0021,0.0035
302,0.0002,-0.0001
302,0.0022,0.0009
302,0.0023,0.0017
302,0.0049,0.0017
303,0.0026,0.0020
303,0.0015,0.0014
303,0.0034,0.0027
303,0.0029,0.0024
303,0.0016,0.0033
304,0.0017,0.0021
304,0.0009,-0.0002
304,0.0024,0.0026
