Wavelength,10:00am,No cosine
442,0.2357,0.2910
443,0.2444,0.2911
443,0.2466,0.3010
443,0.2534,0.3098
443,0.2512,0.3173
444,0.2568,0.3136
444,0.2554,0.3151
444,0.2624,0.3180
444,0.2600,0.3179
444,0.2576,0.3179
445,0.2521,0.3090
445,0.2559,0.3132
445,0.2620,0.3244
445,0.2597,0.3226
446,0.2603,0.3206
446,0.2562,0.3268
446,0.2712,0.3420
446,0.2754,0.3362
446,0.2677,0.3297
447,0.2634,0.3293
447,0.2620,0.3138
447,0.2518,0.3159
447,0.2609,0.3091
447,0.2630,0.3148
448,0.2564,0.3181
448,0.2682,0.3274
448,0.2569,0.3195
448,0.2731,0.3280
449,0.2765,0.3403
449,0.2868,0.3542
449,0.2943,0.3547
449,0.2872,0.3668
449,0.2863,0.3590
450,0.2900,0.3541
450,0.2844,0.3580
450,0.2928,0.3598
450,0.2887,0.3464
451,0.2943,0.3483
451,0.2926,0.3596
451,0.2966,0.3686
451,0.3036,0.3623
451,0.3132,0.3744
452,0.3095,0.3766
452,0.3176,0.3889
452,0.3201,0.3926
452,0.3230,0.3971
453,0.3181,0.3996
453,0.3170,0.3978
453,0.3196,0.3964
453,0.3221,0.3942
453,0.3192,0.3947
454,0.3171,0.3817
454,0.3082,0.3814
454,0.3033,0.3767
454,0.3007,0.3596
455,0.3030,0.3594
455,0.2986,0.3579
455,0.3074,0.3627
455,0.3120,0.3874
455,0.3176,0.3843
456,0.3201,0.3951
456,0.3185,0.3979
456,0.3212,0.3871
456,0.3175,0.3791
457,0.3132,0.3815
457,0.3239,0.3880
457,0.3218,0.3917
457,0.3304,0.4011
457,0.3395,0.4080
458,0.3433,0.4190
458,0.3367,0.4119
458,0.3452,0.4129
458,0.3490,0.4109
459,0.3532,0.4163
459,0.3463,0.4201
459,0.3502,0.4296
459,0.3472,0.4213
459,0.3397,0.4165
460,0.3447,0.4090
460,0.3423,0.4113
460,0.3429,0.4187
460,0.3478,0.4156
461,0.3494,0.4214
461,0.3460,0.4222
461,0.3511,0.4166
461,0.3483,0.4334
461,0.3506,0.4208
462,0.3554,0.4237
462,0.3542,0.4308
462,0.3646,0.4380
462,0.3669,0.4449
463,0.3709,0.4360
463,0.3760,0.4421
463,0.3743,0.4532
463,0.3771,0.4619
463,0.3832,0.4657
464,0.3766,0.4534
464,0.3825,0.4517
464,0.3777,0.4592
464,0.3827,0.4668
465,0.3820,0.4638
465,0.3746,0.4658
465,0.3805,0.4517
465,0.3776,0.4669
465,0.3725,0.4722
466,0.3754,0.4538
466,0.3714,0.4506
466,0.3722,0.4429
466,0.3748,0.4535
467,0.3809,0.4428
467,0.3703,0.4468
467,0.3854,0.4604
467,0.3967,0.4662
467,0.3937,0.4800
468,0.3828,0.4752
468,0.3781,0.4591
468,0.3705,0.4340
468,0.3758,0.4461
468,0.3832,0.4494
469,0.3827,0.4593
469,0.3903,0.4676
469,0.3884,0.4709
469,0.3912,0.4782
470,0.4000,0.4720
470,0.3952,0.4856
470,0.4017,0.4779
470,0.4039,0.4857
470,0.3978,0.4818
471,0.4049,0.4845
471,0.3981,0.4760
471,0.3941,0.4768
471,0.3809,0.4690
472,0.3892,0.4731
472,0.3857,0.4741
472,0.3836,0.4728
472,0.3970,0.4744
472,0.3975,0.4844
473,0.4029,0.4863
473,0.4191,0.4927
473,0.4227,0.5048
473,0.4368,0.5081
474,0.4302,0.5119
474,0.4259,0.5124
474,0.4158,0.5093
474,0.4144,0.5063
474,0.4104,0.5066
475,0.4146,0.4877
475,0.4144,0.5050
475,0.4249,0.5111
475,0.4308,0.5200
476,0.4354,0.5291
476,0.4366,0.5220
476,0.4451,0.5274
476,0.4358,0.5305
476,0.4398,0.5341
477,0.4384,0.5132
477,0.4326,0.5246
477,0.4464,0.5283
477,0.4311,0.5303
478,0.4371,0.5159
478,0.4318,0.5310
478,0.4329,0.5192
478,0.4359,0.5184
478,0.4400,0.5391
479,0.4541,0.5494
479,0.4614,0.5536
479,0.4678,0.5581
479,0.4751,0.5716
480,0.4673,0.5627
480,0.4604,0.5591
480,0.4589,0.5532
480,0.4589,0.5484
480,0.4688,0.5600
481,0.4782,0.5715
481,0.4729,0.5646
481,0.4771,0.5684
481,0.4767,0.5754
482,0.4866,0.5833
482,0.4775,0.5993
482,0.4776,0.5733
482,0.4832,0.5760
482,0.4804,0.5817
483,0.4886,0.5825
483,0.4888,0.5911
483,0.4954,0.5966
483,0.5043,0.5952
484,0.4992,0.5930
484,0.4999,0.5852
484,0.4946,0.5842
484,0.4960,0.5970
484,0.5017,0.5982
485,0.5032,0.5931
485,0.5033,0.5851
485,0.4963,0.5895
485,0.4865,0.5852
486,0.4897,0.5860
486,0.5002,0.5889
486,0.4969,0.5958
486,0.4995,0.5922
487,0.4925,0.5982
487,0.4886,0.5812
487,0.4708,0.5650
487,0.4492,0.5427
487,0.4209,0.5078
488,0.4008,0.4643
488,0.4114,0.4862
488,0.4283,0.5202
488,0.4467,0.5370
489,0.4572,0.5323
489,0.4600,0.5428
489,0.4729,0.5705
489,0.4915,0.5908
489,0.5049,0.6114
490,0.5101,0.6233
490,0.5128,0.6065
490,0.4980,0.6018
490,0.4936,0.5804
491,0.4864,0.5684
491,0.5027,0.5982
491,0.5211,0.6302
491,0.5279,0.6273
491,0.5311,0.6466
492,0.5350,0.6435
492,0.5449,0.6348
492,0.5426,0.6492
492,0.5291,0.6277
493,0.5181,0.6170
493,0.5255,0.6274
493,0.5491,0.6330
493,0.5188,0.6221
493,0.4930,0.5957
494,0.4877,0.5927
494,0.5039,0.5946
494,0.5139,0.6071
494,0.5309,0.6288
495,0.5478,0.6495
495,0.5482,0.6476
495,0.5437,0.6400
495,0.5304,0.6167
495,0.5289,0.6336
496,0.5455,0.6550
496,0.5595,0.6582
496,0.5571,0.6770
496,0.5628,0.6697
497,0.5695,0.6879
497,0.5679,0.6772
497,0.5531,0.6596
497,0.5478,0.6313
497,0.5440,0.6227
498,0.5538,0.6471
498,0.5538,0.6574
498,0.5617,0.6712
498,0.5607,0.6722
499,0.5605,0.6514
499,0.5691,0.6706
499,0.5722,0.6688
499,0.5693,0.6764
499,0.5583,0.6745
500,0.5505,0.6470
500,0.5296,0.6261
500,0.5356,0.6223
500,0.5478,0.6456
501,0.5579,0.6466
501,0.5654,0.6685
501,0.5737,0.6846
501,0.5718,0.6820
501,0.5515,0.6682
502,0.5573,0.6522
502,0.5400,0.6516
502,0.5381,0.6379
502,0.5306,0.6512
503,0.5515,0.6787
503,0.5420,0.6519
503,0.5344,0.6283
503,0.5342,0.6220
503,0.5275,0.6354
504,0.5464,0.6496
504,0.5460,0.6493
504,0.5574,0.6510
504,0.5568,0.6464
505,0.5721,0.6638
505,0.5701,0.6677
505,0.5679,0.6605
505,0.5663,0.6521
505,0.5459,0.6369
506,0.5336,0.6164
506,0.5445,0.6437
506,0.5761,0.6806
506,0.5685,0.6945
507,0.5767,0.6782
507,0.5764,0.6660
507,0.5863,0.6935
507,0.5985,0.7067
508,0.5995,0.7188
508,0.6159,0.7351
508,0.6087,0.7085
508,0.5976,0.6915
508,0.5881,0.6922
509,0.5880,0.6893
509,0.5930,0.6922
509,0.5946,0.6942
509,0.5908,0.6829
510,0.5793,0.6664
510,0.5677,0.6690
510,0.5736,0.6828
510,0.5993,0.6963
510,0.6088,0.7284
511,0.6092,0.7288
511,0.6313,0.7406
511,0.6257,0.7266
511,0.6057,0.7001
512,0.6023,0.6858
512,0.6005,0.7035
512,0.6069,0.7292
512,0.6173,0.7182
512,0.6087,0.7064
513,0.6144,0.7270
513,0.6281,0.7405
513,0.6417,0.7440
513,0.6416,0.7550
514,0.6534,0.7585
514,0.6486,0.7573
514,0.6250,0.7297
514,0.6237,0.7010
514,0.6237,0.7065
515,0.6212,0.7179
515,0.6282,0.7335
515,0.6312,0.7531
515,0.6261,0.7278
516,0.6129,0.7149
516,0.6281,0.7194
516,0.6182,0.7331
516,0.6276,0.7356
516,0.6297,0.7270
517,0.6425,0.7334
517,0.6413,0.7546
517,0.6438,0.7374
517,0.6545,0.7596
518,0.6512,0.7582
518,0.6523,0.7530
518,0.6338,0.7320
518,0.5891,0.6693
519,0.5506,0.6396
519,0.5314,0.6145
519,0.5221,0.6146
519,0.5561,0.6295
519,0.6119,0.6949
520,0.6339,0.7412
520,0.5611,0.6403
520,0.5538,0.6250
520,0.5983,0.6968
521,0.6081,0.7229
521,0.6174,0.7137
521,0.6125,0.7304
521,0.6297,0.7473
521,0.6498,0.7660
522,0.6523,0.7610
522,0.6424,0.7559
522,0.6227,0.7235
522,0.6214,0.7300
523,0.6382,0.7342
523,0.6548,0.7416
523,0.6537,0.7675
523,0.6490,0.7607
523,0.6540,0.7543
524,0.6641,0.7799
524,0.6513,0.7816
524,0.6287,0.7301
524,0.6203,0.7055
525,0.6237,0.7183
525,0.6325,0.7351
525,0.6350,0.7392
525,0.6517,0.7511
525,0.6696,0.7784
526,0.6686,0.7768
526,0.6681,0.7655
526,0.6719,0.7713
526,0.6575,0.7445
527,0.6599,0.7381
527,0.6553,0.7533
527,0.6549,0.7554
527,0.6596,0.7594
528,0.6689,0.7740
528,0.6512,0.7453
528,0.6078,0.7053
528,0.5845,0.6957
528,0.5641,0.6692
529,0.5734,0.6644
529,0.5866,0.6770
529,0.6102,0.7036
529,0.6255,0.7236
530,0.6433,0.7371
530,0.6421,0.7476
530,0.6414,0.7286
530,0.6476,0.7215
530,0.6840,0.7473
531,0.6778,0.7650
531,0.6824,0.7786
531,0.6600,0.7700
531,0.6519,0.7590
532,0.6452,0.7574
532,0.6527,0.7469
532,0.6612,0.7433
532,0.6789,0.7614
532,0.6849,0.7839
533,0.6858,0.7985
533,0.6837,0.7828
533,0.6808,0.7734
533,0.6615,0.7636
534,0.6643,0.7609
534,0.6600,0.7695
534,0.6429,0.7415
534,0.6138,0.7078
534,0.6076,0.6935
535,0.6183,0.7055
535,0.6396,0.7371
535,0.6588,0.7571
535,0.6591,0.7668
536,0.6480,0.7463
536,0.6546,0.7165
536,0.6465,0.7376
536,0.6601,0.7426
537,0.6633,0.7576
537,0.6622,0.7556
537,0.6803,0.7560
537,0.6883,0.7960
537,0.6955,0.7972
538,0.7023,0.8080
538,0.6935,0.7908
538,0.6722,0.7789
538,0.6553,0.7684
539,0.6369,0.7324
539,0.6415,0.7426
539,0.6522,0.7752
539,0.6752,0.8129
539,0.6897,0.8136
540,0.6840,0.7828
540,0.6754,0.7750
540,0.6800,0.7789
540,0.6817,0.7795
541,0.6845,0.7768
541,0.6745,0.7580
541,0.6670,0.7604
541,0.6616,0.7426
541,0.6616,0.7552
542,0.6605,0.7552
542,0.6600,0.7451
542,0.6485,0.7436
542,0.6401,0.7217
543,0.6449,0.7374
543,0.6547,0.7556
543,0.6611,0.7589
543,0.6839,0.7538
544,0.6887,0.7828
544,0.6841,0.7689
544,0.6789,0.7716
544,0.6767,0.7735
544,0.6851,0.7575
545,0.6801,0.7775
545,0.6730,0.7819
545,0.6761,0.7857
545,0.6789,0.7798
546,0.6873,0.8031
546,0.7092,0.8141
546,0.7195,0.8071
546,0.7036,0.7954
546,0.6888,0.7753
547,0.7032,0.7934
547,0.7182,0.8115
547,0.7122,0.8122
547,0.6981,0.8005
548,0.7103,0.8064
548,0.7202,0.8111
548,0.7149,0.8122
548,0.7183,0.8095
549,0.7206,0.8120
549,0.7291,0.8183
549,0.7239,0.7955
549,0.7062,0.8154
549,0.7010,0.8062
550,0.6931,0.8192
550,0.6965,0.8172
550,0.7197,0.8011
550,0.7286,0.8136
551,0.7335,0.8493
551,0.7252,0.8549
551,0.7327,0.8550
551,0.7383,0.8287
551,0.7292,0.8300
552,0.7393,0.8251
552,0.7374,0.8382
552,0.7328,0.8365
552,0.7264,0.8378
553,0.7419,0.8352
553,0.7269,0.8517
553,0.7359,0.8373
553,0.7334,0.8271
553,0.7464,0.8222
554,0.7546,0.8481
554,0.7635,0.8635
554,0.7647,0.8602
554,0.7356,0.8600
555,0.7325,0.8231
555,0.7296,0.8272
555,0.7452,0.8470
555,0.7500,0.8551
556,0.7460,0.8704
556,0.7569,0.8740
556,0.7533,0.8446
556,0.7631,0.8369
556,0.7692,0.8357
557,0.7590,0.8723
557,0.7773,0.8755
557,0.7662,0.8772
557,0.7736,0.8789
558,0.7740,0.8762
558,0.7631,0.8628
558,0.7613,0.8643
558,0.7596,0.8598
558,0.7470,0.8310
559,0.7473,0.8403
559,0.7371,0.8523
559,0.7462,0.8508
559,0.7477,0.8439
560,0.7506,0.8591
560,0.7583,0.8354
560,0.7623,0.8381
560,0.7559,0.8497
561,0.7406,0.8330
561,0.7200,0.7911
561,0.7311,0.7932
561,0.7245,0.8105
561,0.7370,0.8377
562,0.7424,0.8376
562,0.7315,0.8453
562,0.7368,0.8369
562,0.7572,0.8555
563,0.7622,0.8745
563,0.7832,0.8736
563,0.7798,0.8933
563,0.7643,0.8814
563,0.7368,0.8506
564,0.7393,0.8331
564,0.7516,0.8447
564,0.7447,0.8504
564,0.7554,0.8471
565,0.7545,0.8383
565,0.7634,0.8492
565,0.7731,0.8903
565,0.7659,0.8578
566,0.7625,0.8629
566,0.7543,0.8606
566,0.7648,0.8527
566,0.7495,0.8657
566,0.7624,0.8575
567,0.7760,0.8581
567,0.7633,0.8593
567,0.7622,0.8548
567,0.7505,0.8427
568,0.7419,0.8270
568,0.7437,0.8313
568,0.7333,0.8319
568,0.7501,0.8093
568,0.7410,0.8300
569,0.7609,0.8528
569,0.7652,0.8634
569,0.7645,0.8677
569,0.7761,0.8990
570,0.7683,0.8906
570,0.7708,0.8569
570,0.7656,0.8503
570,0.7474,0.8385
571,0.7416,0.8142
571,0.7376,0.8093
571,0.7285,0.8041
571,0.7433,0.8352
571,0.7517,0.8512
572,0.7610,0.8485
572,0.7560,0.8568
572,0.7469,0.8449
572,0.7524,0.8239
573,0.7368,0.8057
573,0.7154,0.7938
573,0.7232,0.7984
573,0.7299,0.8007
573,0.7487,0.8136
574,0.7389,0.8295
574,0.7523,0.8442
574,0.7659,0.8443
574,0.7724,0.8499
575,0.7651,0.8771
575,0.7662,0.8642
575,0.7611,0.8574
575,0.7723,0.8615
576,0.7693,0.8447
576,0.7658,0.8426
576,0.7707,0.8517
576,0.7725,0.8468
576,0.7643,0.8133
577,0.7604,0.8184
577,0.7563,0.8241
577,0.7403,0.8436
577,0.7521,0.8368
578,0.7408,0.8395
578,0.7508,0.8507
578,0.7422,0.8345
578,0.7489,0.8104
578,0.7662,0.8432
579,0.7689,0.8481
579,0.7761,0.8355
579,0.7627,0.8490
579,0.7689,0.8424
580,0.7598,0.8617
580,0.7407,0.8363
580,0.7438,0.8160
580,0.7538,0.8349
581,0.7549,0.8556
581,0.7596,0.8497
581,0.7688,0.8427
581,0.7613,0.8591
581,0.7671,0.8409
582,0.7751,0.8464
582,0.7747,0.8689
582,0.7812,0.8895
582,0.7725,0.8714
583,0.7843,0.8525
583,0.7758,0.8359
583,0.7823,0.8560
583,0.7782,0.8768
584,0.7743,0.8838
584,0.7838,0.8836
584,0.7890,0.8945
584,0.7903,0.8799
584,0.8080,0.8862
585,0.7952,0.8832
585,0.8090,0.8936
585,0.8039,0.9056
585,0.7998,0.8882
586,0.7901,0.8868
586,0.8057,0.8753
586,0.8030,0.8837
586,0.8058,0.8981
586,0.7929,0.8947
587,0.7911,0.8963
587,0.7962,0.8891
587,0.7990,0.9050
587,0.7810,0.8942
588,0.7637,0.8647
588,0.7703,0.8511
588,0.7837,0.8645
588,0.7920,0.8875
589,0.7968,0.8989
589,0.7919,0.8933
589,0.8011,0.9122
589,0.8033,0.9119
589,0.7939,0.9030
590,0.7909,0.8811
590,0.7827,0.8599
590,0.7665,0.8683
590,0.7641,0.8589
591,0.7266,0.8509
591,0.6867,0.7701
591,0.6764,0.7407
591,0.6767,0.7547
592,0.6667,0.7426
592,0.6834,0.7540
592,0.7088,0.7915
592,0.7357,0.8238
592,0.7547,0.8382
593,0.7565,0.8186
593,0.7582,0.8414
593,0.7603,0.8372
593,0.7683,0.8348
594,0.7520,0.8349
594,0.7486,0.8307
594,0.7579,0.8358
594,0.7542,0.8372
594,0.7653,0.8487
595,0.7626,0.8340
595,0.7771,0.8370
595,0.7785,0.8394
595,0.7849,0.8510
596,0.7817,0.8385
596,0.7684,0.8593
596,0.7631,0.8493
596,0.7609,0.8306
597,0.7490,0.8404
597,0.7473,0.8174
597,0.7504,0.8307
597,0.7712,0.8476
597,0.7668,0.8341
598,0.7776,0.8446
598,0.7807,0.8518
598,0.7893,0.8541
598,0.7968,0.8665
599,0.7911,0.8713
599,0.7830,0.8678
599,0.7959,0.8664
599,0.7840,0.8654
600,0.7841,0.8494
600,0.7897,0.8312
600,0.7903,0.8533
600,0.7877,0.8881
600,0.7901,0.9018
601,0.7782,0.8891
601,0.7854,0.8888
601,0.7877,0.8734
601,0.7986,0.8961
602,0.7994,0.8815
602,0.7900,0.8637
602,0.7810,0.8686
602,0.7790,0.8548
602,0.7720,0.8346
603,0.7555,0.8451
603,0.7393,0.8430
603,0.7287,0.8130
603,0.7313,0.8057
604,0.7303,0.8038
604,0.7150,0.7914
604,0.7007,0.7808
604,0.6996,0.7818
605,0.7030,0.7567
605,0.6963,0.7670
605,0.6852,0.7629
605,0.6885,0.7580
605,0.6783,0.7409
606,0.6717,0.7206
606,0.6778,0.7263
606,0.6675,0.7156
606,0.6586,0.7118
607,0.6549,0.6869
607,0.6715,0.6946
607,0.6674,0.6953
607,0.6658,0.7154
608,0.6715,0.7107
608,0.6772,0.7406
608,0.6856,0.7336
608,0.6921,0.7532
608,0.6887,0.7493
609,0.7090,0.7368
609,0.7226,0.7575
609,0.7385,0.7735
609,0.7361,0.7983
610,0.7471,0.8013
610,0.7523,0.8054
610,0.7569,0.8183
610,0.7598,0.8416
611,0.7677,0.8874
611,0.7715,0.8752
611,0.7810,0.8590
611,0.7800,0.8529
611,0.7783,0.8551
612,0.7910,0.8956
612,0.7868,0.8790
612,0.7773,0.8725
612,0.7590,0.8571
613,0.7781,0.8784
613,0.7932,0.8738
613,0.7855,0.8670
613,0.7991,0.8895
614,0.7877,0.8690
614,0.7978,0.8580
614,0.7890,0.8411
614,0.7835,0.8256
614,0.7744,0.8295
615,0.7626,0.8394
615,0.7724,0.8527
615,0.7773,0.8313
615,0.7600,0.8304
616,0.7546,0.8074
616,0.7472,0.8012
616,0.7473,0.7952
616,0.7458,0.8039
617,0.7520,0.8076
617,0.7707,0.8367
617,0.7641,0.8354
617,0.7644,0.8313
617,0.7650,0.8339
618,0.7518,0.8277
618,0.7586,0.8195
618,0.7337,0.7926
618,0.7290,0.7588
619,0.7264,0.7795
619,0.7410,0.8108
619,0.7342,0.8162
619,0.7367,0.8184
619,0.7493,0.8154
620,0.7466,0.8150
620,0.7550,0.8108
620,0.7710,0.8297
620,0.7668,0.8468
621,0.7615,0.8557
621,0.7662,0.8615
621,0.7570,0.8678
621,0.7508,0.8439
622,0.7732,0.8339
622,0.7662,0.8364
622,0.7725,0.8240
622,0.7746,0.8446
622,0.7827,0.8552
623,0.7708,0.8647
623,0.7937,0.8601
623,0.7802,0.8480
623,0.7742,0.8463
624,0.7616,0.8192
624,0.7644,0.8285
624,0.7543,0.8168
624,0.7577,0.8007
625,0.7689,0.8386
625,0.7673,0.8349
625,0.7650,0.8343
625,0.7445,0.8195
625,0.7555,0.8129
626,0.7570,0.8005
626,0.7525,0.8173
626,0.7511,0.8192
626,0.7541,0.8257
627,0.7446,0.7989
627,0.7483,0.7982
627,0.7596,0.8032
627,0.7410,0.8095
628,0.7427,0.8028
628,0.7304,0.7745
628,0.7359,0.7905
628,0.7398,0.7988
628,0.7406,0.7942
629,0.7470,0.7712
629,0.7475,0.7830
629,0.7542,0.7915
629,0.7520,0.8012
630,0.7413,0.7910
630,0.7299,0.7878
630,0.7178,0.7503
630,0.7178,0.7555
631,0.7216,0.7753
631,0.7268,0.7809
631,0.7329,0.7821
631,0.7403,0.7902
631,0.7362,0.7842
632,0.7260,0.7909
632,0.7319,0.7740
632,0.7186,0.7706
632,0.7154,0.7720
633,0.7338,0.7914
633,0.7365,0.8141
633,0.7404,0.8477
633,0.7321,0.8232
634,0.7384,0.7916
634,0.7221,0.7838
634,0.7171,0.7567
634,0.7294,0.7701
634,0.7307,0.7789
635,0.7299,0.7759
635,0.7520,0.7913
635,0.7497,0.8106
635,0.7604,0.8159
636,0.7434,0.8216
636,0.7462,0.8119
636,0.7309,0.8012
636,0.7426,0.8029
637,0.7530,0.7911
637,0.7543,0.7833
637,0.7491,0.8018
637,0.7482,0.7874
637,0.7486,0.7896
638,0.7535,0.8004
638,0.7433,0.7916
638,0.7406,0.7650
638,0.7461,0.7546
639,0.7422,0.7950
639,0.7518,0.7934
639,0.7544,0.7931
639,0.7591,0.8153
640,0.7607,0.8115
640,0.7566,0.8162
640,0.7541,0.8030
640,0.7631,0.8154
640,0.7541,0.8190
641,0.7716,0.8292
641,0.7585,0.8213
641,0.7661,0.7869
641,0.7662,0.7917
642,0.7575,0.8013
642,0.7523,0.8004
642,0.7508,0.8159
642,0.7442,0.8145
643,0.7490,0.8191
643,0.7409,0.8320
643,0.7391,0.8072
643,0.7482,0.8044
643,0.7471,0.8088
644,0.7489,0.7998
644,0.7474,0.8080
644,0.7660,0.8301
644,0.7680,0.8045
645,0.7725,0.7931
645,0.7679,0.8044
645,0.7645,0.8227
645,0.7454,0.8013
646,0.7468,0.8230
646,0.7397,0.8359
646,0.7453,0.8150
646,0.7618,0.8400
646,0.7654,0.8326
647,0.7576,0.8150
647,0.7450,0.7877
647,0.7463,0.7807
647,0.7481,0.7792
648,0.7513,0.7898
648,0.7370,0.7941
648,0.7299,0.7849
648,0.7279,0.7900
649,0.7289,0.7839
649,0.7160,0.7583
649,0.7178,0.7550
649,0.7012,0.7420
649,0.7116,0.7318
650,0.6931,0.7283
650,0.6977,0.7455
650,0.6937,0.7330
650,0.6929,0.7385
651,0.6952,0.7612
651,0.7038,0.7877
651,0.6869,0.7726
651,0.6805,0.7459
652,0.6553,0.7212
652,0.6489,0.7255
652,0.6651,0.7393
652,0.6791,0.7543
653,0.6940,0.7551
653,0.6915,0.7163
653,0.6980,0.7394
653,0.6865,0.7334
653,0.6795,0.7090
654,0.6864,0.7154
654,0.6617,0.6980
654,0.6771,0.7154
654,0.6818,0.7098
655,0.6759,0.7195
655,0.6830,0.7312
655,0.6871,0.7168
655,0.6896,0.7151
656,0.6738,0.7173
656,0.6684,0.6929
656,0.6853,0.6981
656,0.6750,0.6973
656,0.6560,0.7178
657,0.6562,0.7098
657,0.6524,0.6965
657,0.6518,0.6898
657,0.6453,0.6794
658,0.6276,0.6749
658,0.6220,0.6641
658,0.5863,0.6349
658,0.5437,0.6080
659,0.5391,0.5767
659,0.5608,0.6129
659,0.5765,0.6004
659,0.5913,0.5986
659,0.5996,0.6193
660,0.6306,0.6529
660,0.6278,0.6615
660,0.6270,0.6753
660,0.6331,0.6759
661,0.6366,0.7059
661,0.6508,0.7081
661,0.6536,0.6892
661,0.6375,0.6798
662,0.6528,0.7037
662,0.6396,0.7063
662,0.6532,0.6807
662,0.6467,0.6862
662,0.6559,0.6957
663,0.6666,0.6960
663,0.6698,0.7100
663,0.6534,0.6942
663,0.6535,0.6728
664,0.6476,0.6808
664,0.6655,0.6922
664,0.6640,0.7110
664,0.6618,0.7163
665,0.6639,0.7021
665,0.6581,0.6971
665,0.6601,0.6858
665,0.6558,0.6738
665,0.6470,0.6782
666,0.6553,0.6828
666,0.6481,0.7070
666,0.6519,0.7125
666,0.6523,0.7227
667,0.6568,0.7194
667,0.6440,0.6885
667,0.6597,0.7054
667,0.6643,0.6812
668,0.6515,0.6650
668,0.6459,0.6814
668,0.6588,0.6961
668,0.6384,0.6847
669,0.6451,0.6920
669,0.6434,0.6701
669,0.6567,0.6641
669,0.6469,0.6793
669,0.6459,0.6797
670,0.6516,0.6930
670,0.6521,0.6864
670,0.6413,0.7049
670,0.6546,0.7019
671,0.6542,0.6821
671,0.6543,0.6916
671,0.6620,0.6971
671,0.6569,0.6737
672,0.6437,0.6841
672,0.6506,0.6830
672,0.6478,0.6947
672,0.6503,0.6812
672,0.6535,0.6669
673,0.6451,0.6803
673,0.6422,0.6658
673,0.6422,0.6759
673,0.6450,0.6695
674,0.6502,0.6743
674,0.6455,0.6676
674,0.6421,0.6685
674,0.6399,0.6604
675,0.6468,0.6579
675,0.6324,0.6812
675,0.6499,0.7128
675,0.6500,0.6947
675,0.6454,0.6854
676,0.6465,0.6869
676,0.6444,0.7018
676,0.6528,0.6895
676,0.6494,0.6928
677,0.6423,0.6887
677,0.6515,0.6848
677,0.6426,0.6873
677,0.6465,0.6873
678,0.6447,0.6772
678,0.6464,0.6786
678,0.6521,0.6940
678,0.6510,0.6718
679,0.6525,0.6730
679,0.6543,0.6774
679,0.6470,0.6901
679,0.6432,0.6905
679,0.6405,0.6880
680,0.6403,0.6807
680,0.6483,0.6668
680,0.6416,0.6669
680,0.6534,0.6760
681,0.6491,0.6815
681,0.6438,0.6790
681,0.6431,0.6945
681,0.6517,0.7094
682,0.6497,0.7193
682,0.6514,0.6998
682,0.6514,0.7159
682,0.6485,0.6937
682,0.6492,0.6833
683,0.6432,0.6899
683,0.6437,0.6844
683,0.6435,0.6593
683,0.6467,0.6597
684,0.6382,0.6704
684,0.6473,0.6658
684,0.6494,0.6656
684,0.6402,0.6793
685,0.6396,0.6613
685,0.6515,0.6544
685,0.6483,0.6446
685,0.6436,0.6550
686,0.6388,0.6574
686,0.6397,0.6665
686,0.6302,0.6539
686,0.6238,0.6519
686,0.6381,0.6409
687,0.6284,0.6498
687,0.6436,0.6492
687,0.6263,0.6352
687,0.6253,0.6389
688,0.6378,0.6419
688,0.6369,0.6383
688,0.6231,0.6449
688,0.6193,0.6352
689,0.5959,0.6230
689,0.5752,0.5885
689,0.5484,0.5730
689,0.5204,0.5575
689,0.5068,0.5452
690,0.4995,0.5276
690,0.5073,0.5392
690,0.5221,0.5299
690,0.5206,0.5336
691,0.5288,0.5437
691,0.5296,0.5427
691,0.5281,0.5479
691,0.5232,0.5445
692,0.5215,0.5384
692,0.5251,0.5551
692,0.5263,0.5500
692,0.5318,0.5463
693,0.5293,0.5494
693,0.5473,0.5718
693,0.5481,0.5661
693,0.5571,0.5760
693,0.5521,0.5728
694,0.5568,0.5739
694,0.5606,0.5941
694,0.5645,0.5979
694,0.5595,0.5972
695,0.5570,0.5901
695,0.5571,0.5785
695,0.5447,0.5785
695,0.5496,0.5742
696,0.5584,0.5710
696,0.5492,0.5680
696,0.5378,0.5506
696,0.5433,0.5442
696,0.5272,0.5492
697,0.5338,0.5661
697,0.5369,0.5493
697,0.5503,0.5467
697,0.5369,0.5466
698,0.5447,0.5606
698,0.5349,0.5505
698,0.5622,0.5643
698,0.5474,0.5815
699,0.5641,0.5822
699,0.5654,0.5891
699,0.5691,0.5960
699,0.5671,0.5992
700,0.5751,0.5910
700,0.5733,0.5813
700,0.5731,0.5856
700,0.5624,0.5738
700,0.5681,0.5755
701,0.5598,0.5625
701,0.5647,0.5669
701,0.5596,0.5731
701,0.5575,0.5895
702,0.5550,0.5688
702,0.5527,0.5781
702,0.5515,0.5753
702,0.5526,0.5821
703,0.5422,0.5768
703,0.5424,0.5609
703,0.5442,0.5528
703,0.5446,0.5522
703,0.5442,0.5602
704,0.5444,0.5682
704,0.5445,0.5568
704,0.5454,0.5564
704,0.5524,0.5678
705,0.5553,0.5837
705,0.5514,0.5825
705,0.5613,0.5811
705,0.5542,0.5718
706,0.5605,0.5773
706,0.5691,0.5755
706,0.5641,0.5801
706,0.5768,0.5740
707,0.5619,0.5745
707,0.5658,0.5640
707,0.5684,0.5719
707,0.5691,0.5732
