198,0.0045
198,0.0046
198,0.0036
199,0.0038
199,0.0067
199,0.0052
199,0.0073
199,0.0033
200,0.0021
200,0.0048
200,0.0042
200,0.0051
200,0.0067
201,0.0038
201,0.0063
201,0.0042
201,0.0051
201,0.0045
202,0.0054
202,0.0026
202,0.0050
202,0.0036
202,0.0052
203,0.0043
203,0.0073
203,0.0073
203,0.0042
203,0.0039
204,0.0058
204,0.0071
204,0.0024
204,0.0048
204,0.0038
205,0.0072
205,0.0058
205,0.0055
205,0.0049
205,0.0049
206,0.0094
206,0.0026
206,0.0054
206,0.0025
206,0.0070
207,0.0050
207,0.0065
207,0.0046
207,0.0064
207,0.0035
208,0.0048
208,0.0058
208,0.0072
208,0.0038
208,0.0028
209,0.0024
209,0.0036
209,0.0036
209,0.0048
210,0.0024
210,0.0033
210,0.0045
210,0.0060
210,0.0069
211,0.0063
211,0.0023
211,0.0012
211,0.0061
211,0.0041
212,0.0037
212,0.0029
212,0.0049
212,0.0070
212,0.0044
213,0.0080
213,0.0034
213,0.0067
213,0.0035
213,0.0054
214,0.0007
214,0.0053
214,0.0018
214,0.0053
214,0.0052
215,0.0055
215,0.0042
215,0.0029
215,0.0071
215,0.0073
216,0.0045
216,0.0067
216,0.0037
216,0.0051
216,0.0060
217,0.0037
217,0.0039
217,0.0081
217,0.0039
217,0.0053
218,0.0030
218,0.0069
218,0.0058
218,0.0076
218,0.0044
219,0.0026
219,0.0054
219,0.0041
219,0.0046
219,0.0058
220,0.0027
220,0.0078
220,0.0034
220,0.0049
221,0.0071
221,0.0053
221,0.0033
221,0.0049
221,0.0047
222,0.0046
222,0.0044
222,0.0074
222,0.0039
222,0.0061
223,0.0051
223,0.0054
223,0.0064
223,0.0059
223,0.0016
224,0.0027
224,0.0053
224,0.0058
224,0.0047
224,0.0048
225,0.0069
225,0.0064
225,0.0066
225,0.0027
225,0.0048
226,0.0061
226,0.0036
226,0.0057
226,0.0043
226,0.0046
227,0.0050
227,0.0048
227,0.0055
227,0.0055
227,0.0048
228,0.0033
228,0.0068
228,0.0060
228,0.0059
228,0.0046
229,0.0031
229,0.0047
229,0.0040
229,0.0054
229,0.0065
230,0.0064
230,0.0053
230,0.0055
230,0.0076
231,0.0069
231,0.0015
231,0.0071
231,0.0048
231,0.0058
232,0.0049
232,0.0080
232,0.0037
232,0.0047
232,0.0016
233,0.0043
233,0.0065
233,0.0035
