Wavelength,Daylight Window,Daylight Direct
243.9,0.0013,0.0023
244.1,0.0028,0.0061
244.3,0.0007,0.0036
244.5,0.0038,0.0047
244.7,0.0018,0.0051
244.9,0.0044,0.0059
245.1,0.0004,0.0044
245.3,0.0028,0.0035
245.5,0.0035,0.0022
245.7,0.0013,0.0039
245.9,0.0034,0.0039
246.1,0.0012,0.0033
246.3,0.0009,0.0049
246.5,0.0005,0.0059
246.7,0.0010,0.0019
247.0,0.0022,0.0072
247.2,0.0014,0.0064
247.4,0.0025,0.0042
247.6,0.0034,0.0043
247.8,0.0037,0.0070
248.0,0.0009,0.0049
248.2,0.0035,0.0071
248.4,0.0024,0.0031
248.6,0.0013,0.0062
248.8,0.0010,0.0046
249.0,0.0032,0.0039
249.2,0.0019,0.0028
249.4,0.0014,0.0056
249.6,0.0005,0.0041
249.8,0.0041,0.0052
250.1,0.0032,0.0024
250.3,0.0017,0.0059
250.5,-0.0002,0.0018
250.7,0.0047,0.0038
250.9,0.0016,0.0026
251.1,0.0014,0.0057
251.3,0.0012,0.0042
251.5,0.0009,0.0026
251.7,0.0026,0.0034
251.9,0.0018,0.0069
252.1,0.0005,0.0037
252.3,0.0034,0.0061
252.5,0.0026,0.0049
252.7,0.0020,0.0057
252.9,0.0004,0.0033
253.1,0.0007,0.0060
253.4,0.0016,0.0039
253.6,0.0015,0.0060
253.8,0.0022,0.0063
254.0,0.0013,0.0039
254.2,-0.0005,0.0037
254.4,0.0018,0.0052
254.6,0.0011,0.0042
254.8,0.0016,0.0024
255.0,0.0010,0.0040
255.2,-0.0018,0.0045
255.4,0.0038,0.0046
255.6,0.0026,0.0032
255.8,0.0012,0.0029
256.0,0.0026,0.0035
256.3,0.0014,0.0043
256.5,0.0008,0.0049
256.7,0.0025,0.0045
256.9,0.0041,0.0039
257.1,0.0011,0.0034
257.3,0.0023,0.0064
257.5,-0.0002,0.0045
257.7,0.0015,0.0056
257.9,0.0039,0.0016
258.1,0.0028,0.0040
258.3,-0.0004,0.0023
258.5,-0.0001,0.0068
258.7,0.0018,0.0022
258.9,0.0004,0.0070
259.1,0.0008,0.0044
259.4,0.0014,0.0038
259.6,0.0011,0.0054
259.8,0.0017,0.0073
260.0,0.0010,0.0066
260.2,0.0024,0.0017
260.4,0.0006,0.0014
260.6,0.0034,0.0033
260.8,0.0006,0.0015
261.0,0.0004,0.0065
261.2,0.0017,0.0020
261.4,0.0006,0.0037
